Site,Latitude,Longitude,Depth
TWEED_4225, -28.177083, 153.576333, 22
BILINGA, -28.143067, 153.511967, 18
PALM BEACH, -28.099867, 153.486367, 23
GOLD, -27.9649, 153.44095, 17
BRISBANE_4183, -27.487167, 153.6290951, 70
NMWB, -26.8999, 153.2815167, 35
CALO, -26.846133, 153.154733, 12
MOOL, -26.56605, 153.182483, 32
NOOSA, -26.357217, 153.125283, 25
GLAD, -23.89512, 151.5037, 16
EMUP, -23.303317, 151.0703, 19
HAY POINT, -21.2270, 149.29700, 12
MACKAY_4740, -21.034733, 149.547817, 34
TOWN, -19.1761, 147.074867, 17
CAIRNS, -16.7305, 145.7125951, 12
ALBY, -12.6890, 141.684767, 10
